Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Warehouse NCR,Central Store,Rajneesh Pandey,20-06-2025,1,RET0000047,Masala Almond - 40 Gms,RTE - SNACKS,RETAIL,DC/DSD Issues,1,NOS,53.03,53.03,
Warehouse NCR,Central Store,Rajneesh Pandey,20-06-2025,1,RET0000026,Ice Tea - Lavender,RTD ICE TEAS - BOTTLE/CAN,RETAIL,Retail Expiry,4,PCS,94,376,
