Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000088,Nolen Gur Banoffee Jar,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000161,Paris Brest Chocochip,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000162,Paris Brest Tiramisu,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000107,Parsley Chopped,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000090,Pecan & Date Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS,101.32,607.92,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000087,Peri Peri Cheese Chilli Toastie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000141,Potato Chips,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,380,GM,0.77,292.6,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000158,Potato Shot (Frozen),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4500,GM,0.34,1541.54,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000100,Roasted Tomato & Bocconcini Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000104,Rocky Road & Pecan Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000098,Sea Salt Caramel Brookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000095,Smoked Cottage Cheese Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000115,Sour Cream,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000134,Spaghetti Pasta Blanched,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000092,Sriracha Chicken & Avocado Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000114,Tomato Salsa,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000080,Roasted Chicken Mac & Cheese,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000078,Chipotle Chicken,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000077,Chipotle Chicken Mozzarella Pide Base,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000163,Fried Chicken Flaky Burger,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000075,Herb Chicken Open Puff Base,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000072,Herb Roasted Chicken Toastie,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000152,Korean Chicken Bun,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000076,Roasted Turkey Tomato & Cheese Croissant,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,PKG0000015,Plastic Transparent Bowl,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,70,PCS,8.74,612.07,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000004,Beans - Ethiopian Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,5529,GM,1.12,6173.11,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000005,Beans - Ethiopian Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,907,GM,3.16,2869.74,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000003,Beans - Kenya Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,7195,GM,1.15,8259.83,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000006,Beans - Kenya Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,6827,GM,3.64,24826.36,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,17087,GM,0.84,14321.88,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,18434,GM,0.81,14871.56,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RET0000080,Diwali Deepak,FESTIVE IN & OUT ITEM,Retail,-,25,PCS.,309,7725.11,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000067,Gelato - Belgian Chocolate,RM FOOD - ICE CREAMS,RAW MATERIAL,-,4560,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000068,Gelato - Dark Chocolate Sea Salt Caramel,RM FOOD - ICE CREAMS,RAW MATERIAL,-,3690,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000071,Gelato - Mango Sorbet,RM FOOD - ICE CREAMS,RAW MATERIAL,-,3740,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,9-12-2025,176,RAW0000066,Gelato - Vanilla,RM FOOD - ICE CREAMS,RAW MATERIAL,-,5280,GM,0,0,,
